,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
31156,Chennai Super Kings,Rajasthan Royals,Chennai,88,68,8,10.153846153846153,56.0,246
36037,Chennai Super Kings,Mumbai Indians,Chennai,33,92,9,7.071428571428571,32.0,112
24248,Royal Challengers Bangalore,Kings XI Punjab,Bangalore,35,74,7,4.565217391304348,24.0,126
15656,Rajasthan Royals,Chennai Super Kings,Sharjah,67,81,9,10.307692307692308,61.0,216
47502,Rajasthan Royals,Kolkata Knight Riders,Ahmedabad,122,29,8,8.043956043956044,44.0,170
27219,Chennai Super Kings,Rajasthan Royals,Centurion,105,29,6,6.923076923076923,22.0,164
26617,Kings XI Punjab,Kolkata Knight Riders,Durban,134,12,4,7.444444444444445,31.0,158
1577,Royal Challengers Bangalore,Mumbai Indians,Mumbai,102,46,6,8.27027027027027,44.0,162
13650,Kolkata Knight Riders,Mumbai Indians,Kolkata,89,66,10,9.88888888888889,58.0,232
13646,Kolkata Knight Riders,Mumbai Indians,Kolkata,77,70,10,9.24,53.0,232
38081,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,127,32,9,8.659090909090908,43.0,190
33986,Mumbai Indians,Rajasthan Royals,Jaipur,32,83,8,5.1891891891891895,23.0,94
27704,Royal Challengers Bangalore,Rajasthan Royals,Centurion,67,41,5,5.0886075949367084,27.0,105
12704,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,118,30,7,7.866666666666666,44.0,161
38537,Chennai Super Kings,Mumbai Indians,Mumbai,60,71,8,7.346938775510204,40.0,173
36786,Rajasthan Royals,Kolkata Knight Riders,Kolkata,37,88,10,6.9375,33.0,131
8082,Royal Challengers Bangalore,Chennai Super Kings,Chennai,30,87,8,5.454545454545454,29.0,70
22060,Royal Challengers Bangalore,Mumbai Indians,Dubai,112,35,8,7.905882352941177,30.0,201
27372,Royal Challengers Bangalore,Kings XI Punjab,Durban,143,1,1,7.2100840336134455,47.0,145
23387,Royal Challengers Bangalore,Rajasthan Royals,Bangalore,76,68,6,8.76923076923077,47.0,135
56486,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,43,79,9,6.2926829268292686,32.0,138
13983,Chennai Super Kings,Delhi Capitals,Chennai,116,23,7,7.175257731958763,54.0,179
7329,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,58,86,10,10.235294117647058,49.0,172
17614,Mumbai Indians,Rajasthan Royals,Abu Dhabi,176,5,6,9.182608695652174,57.0,193
58615,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,153,20,5,9.18,38.0,208
28091,Kolkata Knight Riders,Royal Challengers Bangalore,Centurion,135,13,6,7.570093457943925,45.0,173
45640,Mumbai Indians,Royal Challengers Bangalore,Dubai,36,88,9,6.75,32.0,115
14004,Chennai Super Kings,Delhi Capitals,Chennai,164,3,6,8.41025641025641,62.0,179
55665,Royal Challengers Bangalore,Rajasthan Royals,Pune,115,29,8,7.582417582417582,47.0,180
40590,Royal Challengers Bangalore,Chennai Super Kings,Chennai,136,15,6,7.771428571428571,50.0,165
57051,Kolkata Knight Riders,Mumbai Indians,Mumbai,157,11,5,8.642201834862385,40.0,174
41899,Kings XI Punjab,Kolkata Knight Riders,Kolkata,78,52,8,6.882352941176471,33.0,149
22414,Delhi Capitals,Sunrisers Hyderabad,Abu Dhabi,112,48,9,9.333333333333334,35.0,189
40707,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,124,21,8,7.515151515151516,41.0,180
36047,Chennai Super Kings,Mumbai Indians,Chennai,44,82,8,6.947368421052632,37.0,112
1809,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,65,58,7,6.290322580645161,30.0,158
46996,Sunrisers Hyderabad,Mumbai Indians,Dubai,78,53,8,6.985074626865671,33.0,172
23077,Kings XI Punjab,Rajasthan Royals,Jaipur,156,3,2,8.0,43.0,166
29444,Chennai Super Kings,Kolkata Knight Riders,Kolkata,87,33,7,6.0,30.0,164
2960,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,114,18,4,6.705882352941177,27.0,125
30303,Rajasthan Royals,Kings XI Punjab,Chandigarh,105,43,8,8.181818181818182,40.0,183
35448,Kolkata Knight Riders,Mumbai Indians,Kolkata,90,57,7,8.571428571428571,46.0,175
11433,Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,87,62,8,9.0,51.0,173
2592,Kolkata Knight Riders,Mumbai Indians,Bangalore,92,26,4,5.872340425531915,40.0,107
57245,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,74,62,9,7.655172413793103,44.0,185
10384,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,126,1,3,6.352941176470588,50.0,136
47781,Sunrisers Hyderabad,Rajasthan Royals,Ahmedabad,130,0,1,6.5,28.0,134
17798,Kings XI Punjab,Chennai Super Kings,Dubai,66,66,9,7.333333333333333,31.0,178
21827,Sunrisers Hyderabad,Kolkata Knight Riders,Abu Dhabi,117,20,8,7.02,46.0,142
6616,Sunrisers Hyderabad,Chennai Super Kings,Pune,41,75,9,5.466666666666667,25.0,179
8941,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,37,81,9,5.6923076923076925,32.0,198
25121,Kolkata Knight Riders,Mumbai Indians,Mumbai,53,47,4,4.3561643835616435,24.0,67
17811,Kings XI Punjab,Chennai Super Kings,Dubai,90,53,9,8.059701492537313,41.0,178
29308,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,113,44,10,8.921052631578947,54.0,203
3560,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,126,33,7,8.689655172413794,56.0,217
49807,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,45,88,9,8.4375,40.0,160
53325,Mumbai Indians,Rajasthan Royals,Mumbai,91,52,7,8.029411764705882,41.0,187
37860,Kings XI Punjab,Mumbai Indians,Chandigarh,153,5,7,7.982608695652174,61.0,168
5918,Rajasthan Royals,Kings XI Punjab,Indore,125,22,3,7.653061224489796,37.0,152
43798,Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,105,23,4,6.494845360824742,40.0,150
51856,Kings XI Punjab,Kolkata Knight Riders,Pune,116,23,5,7.175257731958763,31.0,155
55247,Rajasthan Royals,Kolkata Knight Riders,Mumbai,95,66,9,10.555555555555555,50.0,199
48035,Mumbai Indians,Chennai Super Kings,Mumbai,156,1,5,7.8655462184873945,57.0,157
7607,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,66,56,6,6.1875,20.0,139
34558,Royal Challengers Bangalore,Kings XI Punjab,Bangalore,203,2,4,10.322033898305085,49.0,205
56778,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,89,39,5,6.592592592592593,27.0,143
55750,Royal Challengers Bangalore,Chennai Super Kings,Ranchi,41,65,7,4.472727272727273,18.0,139
16286,Kolkata Knight Riders,Chennai Super Kings,Abu Dhabi,55,81,9,8.461538461538462,46.0,167
51071,Kings XI Punjab,Mumbai Indians,Mumbai,78,65,8,8.50909090909091,36.0,177
8225,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,107,50,10,9.17142857142857,47.0,181
16285,Kolkata Knight Riders,Chennai Super Kings,Abu Dhabi,54,82,9,8.526315789473685,46.0,167
39231,Kolkata Knight Riders,Chennai Super Kings,Kolkata,157,2,4,7.983050847457627,46.0,158
48484,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,90,50,8,7.714285714285714,35.0,205
8965,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,79,58,9,7.645161290322581,46.0,198
46348,Mumbai Indians,Chennai Super Kings,Dubai,141,0,3,7.05,33.0,141
30678,Rajasthan Royals,Chennai Super Kings,Ahmedabad,103,51,8,8.956521739130435,39.0,177
43490,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,54,80,9,8.1,48.0,223
14997,Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,160,1,5,8.067226890756302,56.0,162
28186,Kings XI Punjab,Mumbai Indians,Centurion,80,46,4,6.486486486486487,19.0,119
25316,Kolkata Knight Riders,Chennai Super Kings,Kolkata,45,73,8,5.74468085106383,30.0,149
28041,Kolkata Knight Riders,Royal Challengers Bangalore,Centurion,68,61,8,6.915254237288136,41.0,173
50618,Mumbai Indians,Kolkata Knight Riders,Kolkata,123,17,7,7.165048543689321,54.0,168
47342,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,67,62,8,6.931034482758621,29.0,155
2802,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,96,53,8,8.597014925373134,44.0,176
20511,Delhi Capitals,Mumbai Indians,Dubai,19,88,8,3.5625,18.0,110
16461,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah,92,32,6,6.2727272727272725,32.0,120
34862,Kings XI Punjab,Mumbai Indians,Chandigarh,67,68,9,7.730769230769231,45.0,163
444,Sunrisers Hyderabad,Mumbai Indians,Mumbai,85,52,9,7.5,46.0,158
33173,Chennai Super Kings,Kings XI Punjab,Chandigarh,96,44,8,7.578947368421052,53.0,188
12526,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,61,84,8,10.166666666666666,51.0,159
14179,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,68,72,8,8.5,48.0,183
38539,Chennai Super Kings,Mumbai Indians,Mumbai,65,69,8,7.647058823529412,44.0,173
52249,Rajasthan Royals,Kings XI Punjab,Ahmedabad,174,6,5,9.157894736842104,43.0,191
20354,Chennai Super Kings,Rajasthan Royals,Abu Dhabi,125,0,5,6.25,36.0,125
36176,Rajasthan Royals,Kings XI Punjab,Jaipur,61,78,10,8.714285714285714,45.0,191
440,Sunrisers Hyderabad,Mumbai Indians,Mumbai,82,56,9,7.6875,52.0,158
58492,Sunrisers Hyderabad,Kolkata Knight Riders,Delhi,133,18,5,7.823529411764706,51.0,162
46779,Royal Challengers Bangalore,Kings XI Punjab,Dubai,99,25,3,6.252631578947368,25.0,124
47488,Rajasthan Royals,Kolkata Knight Riders,Ahmedabad,102,41,9,7.746835443037975,38.0,170
481,Sunrisers Hyderabad,Mumbai Indians,Mumbai,138,19,6,8.198019801980198,42.0,158
7258,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,107,33,7,7.379310344827586,37.0,164
2113,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,157,7,4,8.336283185840708,52.0,167
58228,Royal Challengers Bangalore,Kings XI Punjab,Bangalore,111,63,10,11.68421052631579,59.0,211
58606,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,144,29,7,9.494505494505495,47.0,208
48457,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,57,77,10,7.953488372093023,40.0,205
2202,Kings XI Punjab,Mumbai Indians,Mumbai,147,42,8,11.307692307692308,41.0,230
575,Kings XI Punjab,Kolkata Knight Riders,Kolkata,97,52,8,8.558823529411764,38.0,170
54135,Sunrisers Hyderabad,Rajasthan Royals,Mumbai,93,51,8,8.08695652173913,37.0,201
52124,Mumbai Indians,Royal Challengers Bangalore,Bangalore,199,5,4,10.382608695652173,78.0,209
33385,Chennai Super Kings,Royal Challengers Bangalore,Chennai,51,81,9,7.846153846153846,47.0,183
3927,Rajasthan Royals,Kolkata Knight Riders,Jaipur,106,38,7,7.7560975609756095,44.0,160
123,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,201,1,6,10.134453781512605,50.0,207
3283,Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,80,65,7,8.727272727272727,38.0,155
12648,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,41,86,9,7.235294117647059,40.0,161
50459,Kings XI Punjab,Kolkata Knight Riders,Bangalore,67,53,8,6.0,34.0,199
51632,Sunrisers Hyderabad,Rajasthan Royals,Visakhapatnam,127,0,5,6.35,37.0,127
57167,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,161,18,7,9.470588235294118,63.0,194
41383,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,34,78,8,4.857142857142857,24.0,117
56692,Royal Challengers Bangalore,Mumbai Indians,Mumbai,169,3,5,8.666666666666666,64.0,170
40843,Kings XI Punjab,Rajasthan Royals,Jaipur,120,11,2,6.605504587155964,43.0,124
46754,Royal Challengers Bangalore,Kings XI Punjab,Dubai,78,50,5,6.685714285714286,30.0,124
28159,Kings XI Punjab,Mumbai Indians,Centurion,62,73,7,7.914893617021277,40.0,119
23893,Rajasthan Royals,Kolkata Knight Riders,Jaipur,93,58,8,9.0,55.0,196
19321,Royal Challengers Bangalore,Chennai Super Kings,Dubai,85,37,7,6.144578313253012,31.0,169
53873,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,75,62,9,7.758620689655173,34.0,167
15323,Delhi Capitals,Kings XI Punjab,Dubai,65,47,7,5.342465753424658,36.0,157
10436,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,47,72,8,5.875,28.0,149
55368,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,39,71,7,4.775510204081633,29.0,113
